name;mass;radius;orbital_period;semi_major_axis;eccentricity
HD 200964 c;895;-1;825;1.95;0.181
HD 202206 b;17.4;-1;255.87;0.83;0.435
HD 202206 c;2.44;-1;1383.4;2.55;0.267
HD 20367 b;1.07;-1;500;1.25;0.23
HD 2039 b;4.9;-1;1183;2.2;0.67
HD 204313 b;4.28;-1;2024.1;3167;0.0946
HD 204313 c;0.0553;-1;34905;0.2099;0.155
HD 204313 d;1.68;-1;2831.6;3.93;0.28
HD 204941 b;266;-1;1733;2.56;0.37
HD 205739 b;1.37;-1;279.8;896;0.27
HD 206610 b;2.2;-1;610;1.68;0.229
HD 20781 b;0.0379;-1;29.15;169;0.11
HD 20781 c;0.0496;-1;85131;0.3456;0.28
HD 20782 b;1.9;-1;591.9;1381;0.97
HD 207832 b;0.56;-1;161.97;0.57;0.13
HD 207832 c;0.73;-1;1155.7;2112;0.27
HD 20794 b;0.0085;-1;18315;0.1207;0
HD 20794 c;0.0076;-1;40114;0.2036;0
HD 20794 d;15;-1;90309;0.3499;0
HD 208487 b;413;-1;129.8;0.51;0.21
HD 208527 b;9.9;-1;875.5;2.1;0.08
HD 20868 b;1.99;-1;380.85;947;0.75
HD 209458 b;0.69;1.38;3.52472;0.04747;0.0082
HD 210277 b;1.23;-1;442.1;1.1;0.472
HD 210702 b;1.9;-1;354.8;1.2;0.152
HD 211847 b;19.2;-1;7930;7.5;0.685
HD 212301 b;0.4;1.07;2.245715;36;0.0147
HD 212771 b;2.3;-1;373.3;1.22;0.111
HD 213240 b;4.5;-1;951;2.03;0.45
HD 215152 b;0.0087;-1;7.2825;0.0652;0.34
HD 215152 c;0.0097;-1;10866;0.0852;0.38
HD 215456 b;101;-1;191.99;652;0.15
HD 215456 c;246;-1;2277;3394;0.19
HD 215497 b;0.02;-1;3.93404;47;0.16
HD 215497 c;0.33;-1;567.94;1282;0.49
HD 216435 b;1.26;-1;1311;2.56;0.07
HD 216437 b;1.82;-1;1256;2.32;0.29
HD 216536 b;1.47;-1;148.6;609;0.38
HD 216770 b;0.65;-1;118.45;0.46;0.37
HD 21693 b;0.0322;-1;22656;0.1484;0.26
HD 21693 c;0.06472;-1;53881;0.2644;0.24
HD 217107 b;1.33;-1;7.12689;73;0.132
HD 217107 c;2.49;-1;4210;5.27;0.517
HD 217786 b;13;-1;1319;2.38;0.4
HD 218566 b;0.21;-1;225.7;0.6873;0.3
HD 219077 b;10.39;-1;5501;6.22;0.77
HD 219134 b;12;0.1433;3.0931;0.038474;0
