name;orbital_period
KELT-3 b;2.7033902
KELT-6 b;7.845582
KELT-6 c;1276
KELT-7 b;2.7347749
KELT-8 b;3.24406
KIC 10001893 b;0.2197
KIC 10001893 d;0.81161
KIC 10255705 b;707.3793
KIC 10905746 b;9.8844
KIC 11152511 b;287363
KIC 12454613 b;736.3819
KIC 12557548 b;0.653553
KIC 5010054 b;904.24
KIC 5094412 b;276.88
KIC 5522786 b;757.1639
KIC 5732155 b;644.1685
KIC 6185331 b;49.76971
KIC 6372194 b;281.5848
KIC 6436029 b;505.45
KIC 9632895 (AB) b;240503
KIC 9662267 b;466202
KIC 9704149 b;697.0159
KIC-8552719 b;88.4075
KMT-2015-1 b;-1
KOI-1089.02;12.21826
KOI-1257 A b;86.647661
KOI-1299 c;411
KOI-1781 b;3.00516
KOI-1843 b;0.1768913
KOI-188 b;3.79701816
KOI-192 b;-1
KOI-195 b;3.21751883
KOI-206 b;5.33
KOI-2138 b;23.5541
KOI-2700 b;0.910022
KOI-368.01;110.3216
KOI-372 b;125.63243
KOI-372 c;457.57
KOI-4427.01;147.6606
KOI-620.02;130194
KOI-680 b;8.6
KOI-830 b;3.52563254
KOI-89 b;84.69
KOI-89 c;207.58
Kapteyn's b;48616
Kapteyn's c;121.54
Kepler-10 b;0.8374907
Kepler-10 c;45.294301
Kepler-100 b;6.887037
Kepler-100 c;12.815909
Kepler-100 d;35.33313
Kepler-101 b;3.487691
Kepler-101 c;6.029809
Kepler-102 b;16.14569
Kepler-102 c;10.3117732
Kepler-102 d;7.07134
Kepler-103 b;15.965316
Kepler-103 c;179.6133
Kepler-104 b;11.427548
Kepler-104 c;23.668205
Kepler-104 d;51.755394
Kepler-105 c;7.125939
Kepler-106 b;6.16486
Kepler-106 c;13.5708
Kepler-106 d;23.9802
Kepler-106 e;43.8445
Kepler-107 b;3.179997
Kepler-107 c;4.901425
Kepler-107 d;7.958203
Kepler-107 e;14.749049
Kepler-108 b;49.183921
Kepler-108 c;190.323494
Kepler-109 b;6.481637
Kepler-109 c;21.22262
Kepler-11 b;10.30375
Kepler-11 c;13.02502
Kepler-11 d;22.68719
Kepler-11 e;31.9959
Kepler-11 f;46.68876
Kepler-11 g;118.37774
Kepler-110 b;12.691112
Kepler-110 c;31.719775
Kepler-111 b;3.341815
Kepler-111 c;224.784608
Kepler-112 b;8.408878
Kepler-112 c;28.574263
Kepler-113 b;4754
Kepler-113 c;8.92507
Kepler-114 b;5.188548
Kepler-114 c;8041
Kepler-114 d;11776
Kepler-115 b;2.403679
Kepler-115 c;8.990889
Kepler-116 b;5.968734
Kepler-116 c;13.07163
Kepler-117 b;18.795952
Kepler-117 c;50.790412
Kepler-118 b;7.518496
Kepler-118 c;20.17202
Kepler-119 b;2.422082
Kepler-119 c;4.125103
Kepler-12 b;4.4379637
Kepler-120 b;6.312501
Kepler-120 c;12.794585
Kepler-121 b;3.177422
Kepler-121 c;41.008011
Kepler-122 b;5.766193
Kepler-122 c;12.465988
Kepler-122 d;21.587475
Kepler-122 e;37.993273
Kepler-123 b;17.232366
Kepler-123 c;26.695074
Kepler-124 b;3.410493
Kepler-124 c;13.821375
Kepler-124 d;30.950851
Kepler-125 b;4.164389
Kepler-125 c;5.774464
Kepler-126 b;10.495711
Kepler-126 c;21.869741
Kepler-126 d;100.283134
Kepler-127 b;14.435889
Kepler-127 c;29.393195
Kepler-127 d;48.630408
Kepler-128 b;15.09
Kepler-128 c;22804
Kepler-129 b;15.79186
Kepler-129 c;82.20017
Kepler-13 b;1.7633587
Kepler-130 b;8.457458
Kepler-130 d;87.517905
Kepler-131 b;16092
Kepler-131 c;25516
Kepler-132 b;6.178196
Kepler-132 c;6.414914
Kepler-132 d;18.010199
Kepler-133 b;8.129976
Kepler-133 c;31.517586
Kepler-134 b;5.317429
Kepler-134 c;10.105785
Kepler-135 b;6.00253
Kepler-135 c;11.448708
Kepler-136 b;11.5789
Kepler-136 c;16.399235
Kepler-137 b;8.436387
Kepler-137 c;18.735753
Kepler-138 b;10.31320643
Kepler-138 c;13.78164
Kepler-138 d;23.08933
Kepler-139 b;15.771044
Kepler-139 c;157.072878
Kepler-14 b;6.790123
Kepler-140 b;3.25427
Kepler-140 c;91.353282
Kepler-141 b;3.107675
Kepler-141 c;7.010606
Kepler-142 b;2.024152
Kepler-142 c;4.761702
Kepler-142 d;41.809118
Kepler-143 b;16.007583
Kepler-143 c;27.082511
Kepler-144 b;5.885273
Kepler-144 c;10.104665
Kepler-145 b;22951
Kepler-145 c;42882
Kepler-146 b;31.158799
Kepler-146 c;76.732171
Kepler-147 b;12.610584
Kepler-147 c;33.416423
Kepler-148 b;1.729366
Kepler-148 c;4.180043
Kepler-149 b;29.198943
Kepler-149 c;55.328328
Kepler-149 d;160.018032
Kepler-15 b;4.942782
Kepler-150 b;3.428054
Kepler-150 c;7.381998
Kepler-150 d;12.56093
Kepler-150 e;30.826557
Kepler-151 b;15.228958
Kepler-151 c;24.674612
Kepler-152 b;18.207973
Kepler-152 c;88.255055
Kepler-153 b;18.870227
Kepler-153 c;46.90232
Kepler-154 b;33.040532
Kepler-154 c;62.303276
Kepler-155 b;5.931194
Kepler-155 c;52.661793
Kepler-156 b;4.973456
Kepler-156 c;15.906801
Kepler-157 b;1.732342
Kepler-157 c;13.5405
Kepler-158 b;16.709184
Kepler-158 c;28.551383
Kepler-159 b;10.139623
Kepler-159 c;43.595792
Kepler-16 (AB) b;228776
Kepler-160 b;4.309427
Kepler-160 c;13.699087
Kepler-161 b;4.921355
Kepler-161 c;7.06424
Kepler-162 b;6.919798
Kepler-162 c;19.446355
Kepler-163 b;7.810937
Kepler-163 c;21.347262
Kepler-164 b;5.03503
Kepler-164 c;10.945723
Kepler-164 d;28.986769
Kepler-165 b;8.180848
Kepler-165 c;15.31299
Kepler-166 b;7.650254
Kepler-166 c;34.260281
Kepler-167 b;4.393147
Kepler-167 c;7.406097
Kepler-168 b;4.425391
Kepler-168 c;13.193242
Kepler-169 b;3.250619
Kepler-169 c;6.195469
Kepler-169 d;8.348125
Kepler-169 e;13.767102
Kepler-169 f;87.090195
Kepler-17 b;1.4857108
Kepler-170 b;7.930592
Kepler-170 c;16.665863
Kepler-171 b;4.166972
Kepler-171 c;11.463462
Kepler-171 d;39.595519
Kepler-172 b;2.940309
Kepler-172 c;6.388996
Kepler-172 d;14.627119
Kepler-172 e;35.118736
Kepler-173 b;4.263742
Kepler-173 c;8.005777
Kepler-174 b;13.98179
Kepler-174 c;44.000529
Kepler-174 d;247.35373
Kepler-175 b;11.903515
Kepler-175 c;34.035257
Kepler-176 b;5.433074
Kepler-176 c;12.759712
Kepler-176 d;25.751974
Kepler-177 b;35855
Kepler-177 c;49412
Kepler-178 b;9.576694
Kepler-178 c;20.552802
Kepler-178 d;96.678988
Kepler-179 b;2.735926
Kepler-179 c;6.40013
Kepler-18 b;3.504725
Kepler-18 c;7.64159
Kepler-18 d;14.85888
Kepler-180 b;13.817124
Kepler-180 c;41.885775
Kepler-181 b;3.137873
Kepler-181 c;4.302149
Kepler-182 b;9.825792
Kepler-182 c;20.684342
Kepler-183 b;5.687945
Kepler-183 c;11.637071
Kepler-184 b;10.687576
Kepler-184 c;20.303005
Kepler-184 d;29.022358
Kepler-185 b;1.6329
Kepler-185 c;20.729042
Kepler-186 b;3.886803
Kepler-186 c;7.267277
Kepler-186 d;13.343058
Kepler-186 e;22.407793
Kepler-186 f;129.9459
Kepler-187 b;4.938864
Kepler-187 c;10.640263
Kepler-188 b;2.061897
Kepler-188 c;5.996553
Kepler-189 b;10.399931
Kepler-189 c;20.134866
Kepler-19 b;9.2869944
Kepler-190 b;2.019999
Kepler-190 c;3.763024
Kepler-191 b;9.939632
Kepler-191 c;17.738506
Kepler-192 b;9.926746
Kepler-192 c;21.2234
Kepler-193 b;11.38848
Kepler-193 c;50.697494
Kepler-194 b;2.092281
Kepler-194 c;17.308032
Kepler-194 d;52.814973
Kepler-195 b;8.307872
Kepler-195 c;34.096863
Kepler-196 b;20.739886
Kepler-196 c;47.427737
Kepler-197 b;5.599308
Kepler-197 c;10.349695
Kepler-197 d;15.677563
Kepler-197 e;25.209715
Kepler-198 b;17.790037
Kepler-198 c;49.567416
Kepler-199 b;23.637604
Kepler-199 c;67.093408
Kepler-20 b;3.6961219
Kepler-20 c;10.854092
Kepler-20 d;77.61185
Kepler-20 e;6.098493
Kepler-20 f;19.57706
Kepler-200 b;8.594805
Kepler-200 c;10.222157
Kepler-201 b;25.672083
Kepler-201 c;151.884058
Kepler-202 b;4.069427
Kepler-202 c;16.282493
Kepler-203 b;3.162697
Kepler-203 c;5.370647
Kepler-203 d;11.32972
Kepler-204 b;14.400974
Kepler-204 c;25.660593
Kepler-205 b;2.75564
Kepler-205 c;20.306546
Kepler-206 b;7.781987
Kepler-206 c;13.137471
Kepler-206 d;23.44281
Kepler-207 b;1.611865
Kepler-207 c;3.071571
Kepler-207 d;5.868075
Kepler-208 b;4.22864
Kepler-208 c;7.466623
Kepler-208 d;11.131786
Kepler-208 e;16.259458
Kepler-209 b;16.087845
Kepler-209 c;41.749882
Kepler-21 b;2.785755
Kepler-210 b;2.4532
Kepler-210 c;7.9725
Kepler-211 b;4.138575
Kepler-211 c;6.04045
Kepler-212 b;16.257582
Kepler-212 c;31.805174
Kepler-213 b;2.46236
Kepler-213 c;4.822962
Kepler-214 b;15.660544
Kepler-214 c;28.7798
Kepler-215 b;9.360672
Kepler-215 c;14.667108
Kepler-215 d;30.864423
Kepler-215 e;68.16101
Kepler-216 b;7.693641
Kepler-216 c;17.406669
Kepler-217 b;5.374943
Kepler-217 c;8.586004
Kepler-218 b;3.619337
Kepler-218 c;44.699576
Kepler-219 b;4.585512
Kepler-219 c;22.714613
Kepler-219 d;47.903645
Kepler-22 b;289.8623
Kepler-220 b;4.159807
Kepler-220 c;9.034199
