name;mass
Kepler-11 d;0.0229682535
Kepler-11 e;0.03
Kepler-11 f;0.0062926722
Kepler-11 g;0.95
Kepler-110 b;-1
Kepler-110 c;-1
Kepler-111 b;-1
Kepler-111 c;-1
Kepler-112 b;-1
Kepler-112 c;-1
Kepler-113 b;0.0368
Kepler-113 c;0.027
Kepler-114 b;0.0220243526
Kepler-114 c;0.1258534437
Kepler-114 d;0.0151
Kepler-115 b;-1
Kepler-115 c;-1
Kepler-116 b;-1
Kepler-116 c;-1
Kepler-117 b;-1
Kepler-117 c;-1
Kepler-118 b;-1
Kepler-118 c;-1
Kepler-119 b;-1
Kepler-119 c;-1
Kepler-12 b;0.431
Kepler-120 b;-1
Kepler-120 c;-1
Kepler-121 b;-1
Kepler-121 c;-1
Kepler-122 b;-1
Kepler-122 c;-1
Kepler-122 d;-1
Kepler-122 e;-1
Kepler-123 b;-1
Kepler-123 c;-1
Kepler-124 b;-1
Kepler-124 c;-1
Kepler-124 d;-1
Kepler-125 b;-1
Kepler-125 c;-1
Kepler-126 b;-1
Kepler-126 c;-1
Kepler-126 d;-1
Kepler-127 b;-1
Kepler-127 c;-1
Kepler-127 d;-1
Kepler-128 b;0.0941
Kepler-128 c;0.104
Kepler-129 b;-1
Kepler-129 c;-1
Kepler-13 b;6.5
Kepler-130 b;-1
Kepler-130 d;-1
Kepler-131 b;0.05075
Kepler-131 c;0.026
Kepler-132 b;-1
Kepler-132 c;-1
Kepler-132 d;-1
Kepler-133 b;-1
Kepler-133 c;-1
Kepler-134 b;-1
Kepler-134 c;-1
Kepler-135 b;-1
Kepler-135 c;-1
Kepler-136 b;-1
Kepler-136 c;-1
Kepler-137 b;-1
Kepler-137 c;-1
Kepler-138 b;0.00021
Kepler-138 c;0.00318
Kepler-138 d;0.0031777995
Kepler-139 b;-1
Kepler-139 c;-1
Kepler-14 b;8.4
Kepler-140 b;-1
Kepler-140 c;-1
Kepler-141 b;-1
Kepler-141 c;-1
Kepler-142 b;-1
Kepler-142 c;-1
Kepler-142 d;-1
Kepler-143 b;-1
Kepler-143 c;-1
Kepler-144 b;-1
Kepler-144 c;-1
Kepler-145 b;0.108
Kepler-145 c;0.234
Kepler-146 b;-1
Kepler-146 c;-1
Kepler-147 b;-1
Kepler-147 c;-1
Kepler-148 b;-1
Kepler-148 c;-1
Kepler-149 b;-1
